Year,Game_ID,Period,L_FGA,L_FTA,L_TOV,T_FGA,T_FTA,T_TOV,Timeouts
2006,40500131,1,8,5,1,24,7,2,"412,579"
2006,40500131,2,6,0,1,20,2,4,"150,265,565"
2006,40500131,3,4,3,0,18,6,2,"265,584"
2006,40500131,4,9,3,2,25,7,2,"198,386,490,630"
2006,40500132,1,5,7,4,18,7,6,"260,630"
2006,40500132,2,6,1,0,25,1,1,"79,386,521"
2006,40500132,3,4,1,4,22,9,5,"178,419"
2006,40500132,4,10,6,2,18,12,4,"193,373,595,667,695,700"
2006,40500133,1,5,1,2,20,6,7,"381,480,549,620"
2006,40500133,2,10,3,0,24,5,1,"240,371,592"
2006,40500133,3,4,2,1,18,10,3,"450,550"
2006,40500133,4,9,3,1,23,6,1,"181,386,504,560,670,679,697,715"
2006,40500134,1,8,2,2,16,6,7,"370,599"
2006,40500134,2,6,0,2,18,9,5,"287,427,583"
2006,40500134,3,3,0,0,19,0,3,"397,558"
2006,40500134,4,6,5,3,15,10,7,"178,362,549,691,695,697"
2006,40500135,1,4,4,0,15,14,1,"379,581"
2006,40500135,2,6,7,2,13,11,6,"188,462,574,714"
2006,40500135,3,2,0,0,24,8,1,"176,478"
2006,40500135,4,10,3,2,23,3,3,"192,252,462,588,642,685,713"
2006,40500135,5,1,4,0,6,7,1,"76,165,243,270,275,297"
2006,40500136,1,10,0,1,20,4,4,"368,550"
2006,40500136,2,5,0,0,21,5,0,"186,371,563,716"
2006,40500136,3,5,0,1,24,4,3,"159,542"
2006,40500136,4,3,2,2,15,12,5,"124,263,387,635,697,706,710,719"
2006,40500136,5,2,1,1,5,1,2,"180,258,284,286"
2006,40500201,1,8,0,2,23,0,5,"230,551"
2006,40500201,2,6,2,0,17,8,1,"264,377,496,693"
2006,40500201,3,4,0,2,20,1,2,"300,554"
2006,40500201,4,0,0,0,22,9,2,"190,385,584"
2006,40500202,1,6,0,0,20,0,2,"372,559,676"
2006,40500202,2,4,2,1,18,10,4,"61,265,417,708"
2006,40500202,3,8,1,1,23,2,4,"375,598"
2006,40500202,4,5,5,1,18,10,2,"189,285,449,647,710"
2006,40500203,1,4,0,1,18,0,3,"362,627"
2006,40500203,2,3,0,2,18,5,5,"153,245,470,547"
2006,40500203,3,3,0,0,17,2,2,"372,533"
