Year,Player,BPM,Series,Games_Played,Series_Games
2006,Larry Hughes,0.1,1,5,6
2006,Larry Hughes,0.1,2,1,7
2007,Larry Hughes,0.2,3,5,6
2007,Larry Hughes,0.2,4,2,4
2012,Chris Bosh,2.1,2,1,6
2012,Chris Bosh,2.1,3,3,7
2013,Dwyane Wade,4.4,1,3,4
2015,Kevin Love,1.8,2,0,6
2015,Kevin Love,1.8,3,0,4
2015,Kevin Love,1.8,4,0,6
2015,Kyrie Irving,3.4,3,2,4
2015,Kyrie Irving,3.4,4,1,6
2015,Anderson Varejao,1.1,1,0,4
2015,Anderson Varejao,1.1,2,0,6
2015,Anderson Varejao,1.1,3,0,4
2015,Anderson Varejao,1.1,4,0,6
2016,Kevin Love,1.5,4,6,7
2018,Kevin Love,1.9,3,6,7
2021,Anthony Davis,4.5,1,5,6
