Year	PCr	Gly	Lac	M	CNS	Phi	P(Prod)
-----------------------------------------------------------------
2006	0.668	0.928	0.777	0.837	0.537	0.756	0.384
2007	0.649	0.927	0.768	0.811	0.518	0.769	0.360
2008	0.617	0.926	0.744	0.789	0.539	0.810	0.352
2009	0.606	0.929	0.743	0.787	0.522	0.803	0.339
2010	0.617	0.928	0.753	0.857	0.603	0.790	0.404
2011	0.650	0.933	0.760	0.861	0.538	0.766	0.387
2012	0.623	0.929	0.743	0.819	0.538	0.797	0.369
2013	0.632	0.937	0.758	0.877	0.565	0.749	0.401
2014	0.622	0.936	0.746	0.859	0.544	0.771	0.381
2015	0.626	0.922	0.735	0.866	0.526	0.844	0.366
2016	0.625	0.928	0.746	0.903	0.537	0.806	0.382
2017	0.599	0.923	0.724	0.831	0.502	0.855	0.338
2018	0.519	0.871	0.657	0.751	0.342	1.093	0.210
2020	0.578	0.945	0.743	0.896	0.582	0.733	0.394
2021	0.621	0.952	0.777	0.933	0.700	0.660	0.491
2023	0.615	0.939	0.764	0.921	0.603	0.726	0.422
2024	0.634	0.948	0.783	0.903	0.598	0.662	0.432
2025	0.634	0.938	0.775	0.873	0.597	0.719	0.412
